PaperId,AuthorId,DisplayName,LastKnownAffiliationId,PaperCount
2768086796,2482312831,Hwee Bee Wong,1291357265,3
2150521932,2524864411,Ashley M. Kranz,1309849503,22
2529204259,2527854271,Mia E. Persson,102134673,8
2626005364,2557700038,Xiaowen Zhang,108688024,3
2053433174,2579904109,Christine Bottrell,136199984,3
2598874787,2600349445,Xing Wang,1288882113,1
2598661691,2602124161,Yong Ma,154093214,3
2773815803,2606099694,Ashley Barkel,55732556,3
2524379547,2615335800,Lei Feng,183519381,17
2729555744,2615335800,Lei Feng,183519381,17
2749985024,2628070156,Xiaofeng Liu,172675005,3
2768021794,2628337828,Malte Ziewitz,205783295,11
2419662642,2681558732,Giovanna Truda,131729948,2
2283745481,2682194195,Jennifer Averyt,2799584038,2
2142566405,2685308358,Matthew Timmons,1323843004,1
2578400735,2697528344,Chun-Ling Zhang,"",2
2117270918,2699999132,Weihuo Pan,76130692,1
2347087085,2722148238,Amanda Celis Ekstrand,"",1
2081866030,2745058747,Robert McClelland,1290095210,29
2756799614,2758555050,Manissa M Maharawal,"",1
2808334660,2761981069,Hyunin Baek,142740786,8
2789884145,2761981069,Hyunin Baek,142740786,8
1976010404,2773021712,Blanca Ramos,"",1
2515212129,2780725154,Kazuyoshi Imaizumi,145673806,55
2884432068,2794566590,Marguerite Zauner,"",2
2742959901,2799510589,Huilan Shi,2802534033,4
2161930437,2807209552,Edward M. Heath,121980950,17
2279407635,2892964369,Jisun Jang,1288882113,1
2765178882,2902528837,Sei-Hill Kim,135310074,5
2701218073,2915752875,Laurie E. Paarlberg,91045830,6
2099495008,2947029119,Don Kurtz,"",1
1948934543,15593445,Bart de Langhe,188538660,23
2111786369,103802225,Janikke Solstad Vedeler,1285105306,5
2021165482,122758224,Mahia Saracostti,174216632,3
2067392336,149114308,Rolf Jorde,1298853749,265
2321525676,244079973,Thomas F. Homer-Dixon,151746483,47
2141365291,519288537,Eric Maurin,57995698,143
2136747640,1133415460,Dean E. Jacks,142740786,16
2162770141,1857855067,Thomas Münzel,197323543,880
2770125142,1869678437,Vera Toepoel,193662353,84
2526744961,1937739834,Alessandra Vultaggio,45084792,88
2120437367,1941967687,Felix Maringe,192619145,63
2025131571,1941967687,Felix Maringe,192619145,63
2149748558,1954010744,Christian Vollmer,145876445,49
2136302687,1975008700,M. Paz Salmador,63634437,13
2344408881,1976110292,Anca Sevcenco,141595442,6
2336777384,1980260305,Patrick McNamara,111088046,170
2072182676,1991127950,Rebecca Wickes,56590836,78
2607010659,2004367435,Richard Futrell,63966007,46
2101355993,2014550186,R. Tamara Konetzka,40347166,80
128345468,2025522940,Graham Meadows,56590836,120
2110247099,2028771222,Maria Chorozoglou,43439940,20
2106621162,2041908381,Sarah E. Kreps,205783295,46
2581332009,2041908381,Sarah E. Kreps,205783295,46
2395798251,2050241444,Alice K. Johnson Butterfield,39422238,34
2267556921,2063158771,Sivan Yosef,150314799,14
2729246573,2063453573,Ayse Akincigil,102322142,46
2513121954,2066038083,Elaine J. Amella,153297377,51
1971801429,2068859761,Linda Bugle,161165907,6
2168918074,2072637253,Kimberly A. Tyler,114395901,102
2340408451,2074469124,Christian Lennartz,887064364,25
2126103472,2083909347,Elizabeth R. Groff,84392919,82
2021884189,2083909347,Elizabeth R. Groff,84392919,82
2066784166,2088112197,Jason T. Carmichael,5023651,39
2077246910,2096589372,Carmela L. Estrada,40347166,4
2074726269,2101305577,Ainsley Malone,2802640295,43
2028331528,2101305577,Ainsley Malone,2802640295,43
1978124082,2103856555,Jeff Pratt,162608824,6
2049196109,2104434749,Roderick A. Rose,114027177,74
2104757356,2104951171,Christopher Williams,79619799,14
2124509997,2105679706,Patrícia Aline Boer,181391015,50
2168743925,2107450978,Evan C. Sommer,200719446,7
2463376573,2109330882,Xuzheng Chen,118783713,17
2509389010,2111208784,Feilong Li,37987034,4
2807084267,2115674341,Salla Atkins,28166907,32
2156179322,2119877259,Oliver Cronin,86467917,8
2041847845,2120734407,William S. Maddox,106165777,7
2036615776,2120734407,William S. Maddox,106165777,7
2117012654,2122055288,Jennifer K. Gilbert,200719446,32
2099233485,2122055288,Jennifer K. Gilbert,200719446,32
2117012654,2124516683,Joseph R. Jenkins,201448701,145
2001455510,2125056721,Qian Lu,44461941,99
2114602136,2126251154,N. Maritza Dowling,135310074,68
2103905149,2127220412,Stig Berg,918370745,106
2160407413,2133328094,Kok-Seng Wong,2251586001,47
2068412647,2136309993,Pamela J. August,"",1
2802787606,2140185725,Tim Dekkers,181037475,10
2330253283,2142462021,Volker Thoma,157227730,31
2108386019,2148379846,Anne Forster,130828816,189
2013021341,2148919408,Essi Sairanen,94722563,10
2118561825,2149220856,Daniel A. Powers,86519309,70
2106809056,2149525358,David Lyle,129604602,132
2148030167,2150994329,Bhavneet Bharti,45294948,69
2735322381,2152739115,André de Waal,209991678,76
1921102796,2154532785,Jerome F. Walker,872719,38
2765178882,2156398921,Andrea Tanner,155781252,48
2112608076,2157226048,Helen Brooks,146655781,48
1983645511,2160793120,Corwin E. Smidt,163795733,64
2147244892,2162790008,Kenneth Nelson,161593684,88
2090151540,2162790008,Kenneth Nelson,161593684,88
2344673905,2162790008,Kenneth Nelson,161593684,88
2082171685,2163246319,Joshua Johnson,32971472,32
2101232256,2166990755,JoAnn E. Manson,1283280774,1806
2599912291,2169124472,Peter D White,166337079,202
2729555744,2170998891,Mi Li,37796252,50
2524379547,2170998891,Mi Li,37796252,50
2487189660,2184931287,Ariadne Schmidt,121797337,36
2324416681,2199527405,Brent Kelly,55302922,68
2534964277,2224590420,Daniel S. Balint,47508984,110
2331702800,2232743970,Edith D. de Leeuw,193662353,48
2500007476,2238154182,Jon Valant,114832834,4
2096815152,2239350723,Allen J. Dietrich,107672454,144
2021464544,2240257968,Tamara Halle,58790123,44
2793321426,2280518702,Tamara Witschge,169381384,53
2164189875,2290636620,Kenneth Wilson,146655781,86
2793091229,2299465552,Yael Agmon-Gerstein,"",8
2101953289,2306413001,Kali H. Trzesniewski,84218800,58
2082131226,2319178185,Petra Kaufmann,2799503643,90
2133540152,2336397080,David Eitle,23732399,38
2149604961,2336397080,David Eitle,23732399,38
1999546249,2336397080,David Eitle,23732399,38
2114103269,2344650264,Wafaa Zaaraoui,21491767,48
2059171735,2395155271,Reagan A. Baughman,161057412,29
2228620002,2436083814,Xiaoxing Tao,"",1
2082760180,2472909337,James B. Semmens,205640436,247
2789737805,2485134645,Hossein Zare,145311948,11
2109168155,2485854424,Laura J. Hanby,1321516992,7
2045203379,2494781824,Mark Chavesc,138006243,1
2170210165,2495766595,Hassan Sadeghi-Movahed,138006243,1
2105634567,2500255129,Debra P. Shockey,184840846,1
2338908596,2505684543,Emma Elizalde,136199984,2
2135474860,2515895730,Joshua W. Busby,86519309,71
2106597993,2538062658,Frank Mierzwa,180297670,6
2557750914,2547771047,Florence Sutcliffe-Braithwaite,45129253,11
2766203584,2562217753,Thomas Hagen,184942183,9
2891184324,2562217753,Thomas Hagen,184942183,9
2533044938,2575193160,Katie Greenfield,142263535,4
2102062418,2590852328,Jennifer McMahon,"",2
2339431507,2594900413,Jay Schulkin,888655202,389
2332701094,2600067917,Rathavuth Hong,"",2
2883319448,2603236551,Marie E. Gill,94658018,4
2133809857,2619328686,Ian Palmer,"",1
1882672136,2627123260,R.J Mutave,12859529,14
2537569471,2628822549,Wei Zhang,91656880,2
2625121263,2630776261,Lauren Eaton,1295499534,1
2554652075,2652753828,Zhou Jiang,80947539,21
2100137700,2659299891,Yong Zheng,142108993,1
2070383435,2679253930,Luis Schloeter,162148367,1
2591639410,2682336710,Hung-Tao Chung,"",2
2087251433,2684547903,Xiao-Yuan Dong,872945872,1
2004026580,2690391401,F Liu,183519381,1
2103013609,2696702926,Stephanie J. Amey,"",1
1995244626,2717363136,Santosh Mehrotra,2799351866,18
1578175998,2720529102,Antonio Fragasso,138689650,2
2118911915,2720947652,Zongshu Li,"",1
2465256268,2738617591,Alena G. Esposito,150468666,8
2120130225,2765898471,Xingmei Wang,"",1
2853703888,2780458598,Michaël Opgenhaffen,99464096,30
2790440512,2793220509,Alyssa Choate,126307644,1
2801281276,2799826453,Peter M Onesmo,"",1
2118023058,2808875852,Jinhyung Kim,2801047068,1
2416975836,2871333389,Sheng Yang,"",1
2745274422,2916805497,Michael Weitzman,57206974,76
2147764623,2940996408,John J. Kastelein,"",2
2121552302,2942653687,Philip M. Stinson,119261591,3
2578668527,2942826207,Kerry N. L. Avery,36234482,8
2127157757,5968773,Damien Contandriopoulos,70931966,59
2598163779,38343657,Claudia Felser,149899117,949
2429751746,110722198,Alisha K. Wackerle-Hollman,130238516,14
2742024346,260122377,Jaroslav Flegr,21250087,175
2594755663,260122377,Jaroslav Flegr,21250087,175
2098970793,282507677,Tracy E. Tholanikunnel,153297377,4
2164397221,296410993,Shawn D. Bushway,392282,126
2148462092,301778958,Leona Cuttler,58956616,85
2065620724,304222691,Ashton Michael Verdery,130769515,34
2800001371,381221165,S. John Weroha,1330342723,32
2068270850,620527522,Siobhan Quenby,39555362,185
2899172313,693446080,Jelena Drulovic,4068193,181
2079477177,1254748277,Brett Ashley Leeds,74775410,32
2142180317,1534237563,Miriam A. DeLone,184654094,18
2117539691,1534237563,Miriam A. DeLone,184654094,18
1852553528,1556971163,Bussarawan Teerawichitchainan,79891267,35
2023657287,1785394198,Teresa E. Seeman,161318765,437
2156100062,1785394198,Teresa E. Seeman,161318765,437
1975221687,1785394198,Teresa E. Seeman,161318765,437
2165808800,1785394198,Teresa E. Seeman,161318765,437
2593538689,1892164308,Jorge A. Coss-Bu,181547552,68
2153509977,1892164308,Jorge A. Coss-Bu,181547552,68
2098049594,1900124462,Tolga Çakmak,143396566,24
2198090479,1944868578,Paibul Suriyawongpaisal,25399158,67
1502088983,1946933776,Bruce W. Hollis,153297377,334
2035538588,1964066678,Ben Feldmeyer,63135867,37
2585168048,1964066678,Ben Feldmeyer,63135867,37
2125818355,1981983668,Marc Ouimet,70931966,40
1971805167,1981983668,Marc Ouimet,70931966,40
2094805317,1985585708,Eva Syková,21250087,234
2791723586,1989822889,Bruno Fabris,142444530,169
1821407293,1989822889,Bruno Fabris,142444530,169
2784545024,1991813956,Brandy L. Blasko,191429286,27
2149071592,1991813956,Brandy L. Blasko,191429286,27
2591483024,1991813956,Brandy L. Blasko,191429286,27
2613179687,1999624459,Rani Polak,2799748957,26
2753670826,2006170311,David M. Sarcone,"",4
1974781024,2023640810,Gail McVey,185261750,40
2784544875,2028870190,Laurie C. Haws,875511016,28
2127628985,2031830686,Jennifer Martindale-Adams,160606119,36
2585061295,2032018198,Nicola Zizzo,5561750,55
2238307521,2032312317,Margaret Plews-Ogan,51556381,25
2782753578,2035318101,Lars-Peter Kamolz,202276237,122
2114658085,2082694232,Lisa A. Melander,189590672,24
2168918074,2082694232,Lisa A. Melander,189590672,24
2510901453,2088711390,Jennifer L. Glanville,126307644,34
2051935649,2090362811,Ilhong Yun,152238500,30
2168610093,2090362811,Ilhong Yun,152238500,30
2322892690,2090362811,Ilhong Yun,152238500,30
1999177939,2090362811,Ilhong Yun,152238500,30
1909029441,2091444691,Dorothy A. Bazos,107672454,8
2087751165,2096782078,Christel A. Woodward,98251732,74
2584999368,2099948803,Pat Barclay,79817857,58
2135912149,2101186541,Daniel B. Jones,1316535847,419
2330773337,2101784004,Wendy Hargreaves,11701301,3
2150494624,2108182283,Elizabeth Armari,114017466,6
2108494396,2108629417,Su-yin Hor,114017466,29
2039576561,2109437435,Paru Shah,43579087,32
2109301961,2110188858,Barbara Bloom,158011677,14
2153861177,2110188858,Barbara Bloom,158011677,14
2135656403,2110188858,Barbara Bloom,158011677,14
2332147633,2110718155,Robert Serpell,33278361,85
2885237644,2110718155,Robert Serpell,33278361,85
2040930853,2115566879,Tonya M. Parrott,43267033,16
2133739314,2117144803,E. Jane Costello,170897317,158
